user_id,number_of_days,number_of_hours
27,23,81
29,18,29
31,96,467
33,110,425
35,147,808
36,38,149
38,14,38
39,11,51
41,115,616
54,10,32
107,26,135
142,22,84
145,33,94
175,10,26
176,100,340
177,138,672
178,34,85
181,185,890
185,30,81
207,8,23
233,353,3129
234,90,647
235,51,205
241,55,177
242,106,521
243,78,183
245,27,146
246,20,135
255,56,164
260,34,113
262,58,327
265,97,712
267,5,33
268,12,68
270,43,263
272,12,35
273,13,34
279,57,212
281,16,110
282,6,29
283,70,388
284,26,78
285,15,72
294,64,225
295,22,198
300,11,23
302,45,123
303,4,25
305,132,720
308,43,164
310,112,735
323,60,165
327,10,25
331,14,29
340,79,335
443,82,1003
444,89,533
449,128,958
450,102,609
451,78,346
452,17,23
453,61,314
454,51,343
456,28,83
457,24,83
460,63,220
461,16,31
462,52,63
472,14,24
530,38,301
531,11,41
586,30,121
603,109,916
1631,26,135
2636,21,89
2638,11,29
2639,12,76
2640,23,54
2641,62,395
2642,16,100
2644,35,89
2645,49,240
2646,33,173
2648,38,127
2649,59,431
2651,58,311
2652,15,132
2653,9,26
2654,69,489
2655,13,30
2657,49,249
2658,26,162
2659,25,165
2661,57,409
2662,23,169
2663,39,136
2664,46,214
2665,18,116
2666,4,35
2667,46,192
2668,28,209
2669,47,236
2670,49,394
2671,56,401
2672,48,298
2675,33,231
2676,48,306
2677,20,152
2680,44,284
2681,6,37
2682,35,225
2683,40,265
2684,41,274
2685,18,83
2686,7,22
2688,35,210
2691,8,100
2692,18,96
2693,29,129
2714,6,35
2717,16,126
2719,14,49
2720,17,109
2721,15,73
2722,16,45
2725,6,38
2727,5,46
2728,9,27
2730,9,40
2746,14,72
2751,4,21
2752,18,97
2754,6,30
2756,15,71
2757,18,133
2758,5,29
2761,6,26
2763,21,393
2764,14,73
2765,18,115
2768,13,74
2770,11,39
2777,10,59
2778,8,22
3778,5,31
